Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
3-Oxohexacosyl-CoA	VOMUIFOBQMYJPJ-CPIGOPAHSA-N	52977				
3-Oxotetradecanoyl-CoA	IQNFBGHLIVBNOU-QSGBVPJFSA-N	28726	HMDB03935	C05261	11966197	LMFA07050082
3'-Phosphoadenylylselenate	AZRLZPIFEZUZLW-KQYNXXCUSA-N		HMDB11104	C05696	24892762	
3-Phospho-D-glycerate	OSJPPGNTCRNQQC-UWTATZPHSA-N	17794	HMDB00807	C00597	439183	
3-phosphonatooxypyruvate(3-)	LFLUCDOSQPJJBE-UHFFFAOYSA-N	30933	HMDB01024	C03232	105	
3-Sulfino-L-alanine	ADVPTQAUNPRNPO-REOHCLBHSA-N	16345	HMDB00996	C00606	28167170	
3-Sulfinopyruvate	JXYLQEMXCAAMOL-UHFFFAOYSA-N	1665	HMDB02332	C05527		
3-sulfonatopyruvate(2-)	BUTHMSUEBYPMKJ-UHFFFAOYSA-N	16894	HMDB04045	C05528	440717	
3-hydroxy-tetradecanoyl carnitine						
3-hydroxy tetradecenoyl-7-coa						
3-hydroxy tetradecenoyl-7-carnitine						
3-hydroxy trans7,10-hexadecadienoylcoa						
3-hydroxy trans7,10-hexadecadienoyl carnitine						
3-hydroxy trans5,8tetradecadienoyl coa						
3-hydroxy trans5,8tetradecadienoyl carnitine						
3-Ureidoisobutyrate	PHENTZNALBMCQD-UHFFFAOYSA-N	1670	HMDB02031	C05100		
3'-UMP(2-)	FOGRQMPFHUHIGU-XVFCMESISA-N	28895		C01368	101543	
4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	YCJNYHCCOXVYAF-UHFFFAOYSA-N		HMDB04083	C05645	440741	
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	LFQXEZVYNCBVDO-PBJLWWPKSA-N	17813	HMDB01023	C11455	443212	LMST01010149
14-demethyllanosterol	CHGIKSSZNBCNDW-QGBOJXOESA-N	18364	HMDB01286	C05108		LMST01010176
4,6-Dihydroxyquinoline	XFALURCRIGINGT-UHFFFAOYSA-N	28799	HMDB04077	C05639		
quinoline-4,8-diol	PYELIMVFIITPER-UHFFFAOYSA-N	28883		C05637	440737	
4-acetamidobutanoate	UZTFMUBKZQVKLK-UHFFFAOYSA-N	17645	HMDB03681	C02946	18189	
4-Aminobutanoate	BTCSSZJGUNDROE-UHFFFAOYSA-N	16865	HMDB00112	C00334	119	LMFA01100039
